Feature,MeanAbsSHAP
client_installments_AMT_PAYMENT_min_mean,0.01703105156266715
previous_DAYS_FIRST_DUE_mean,0.016808430781907913
FLOORSMIN_AVG,0.016643671778231277
previous_PRODUCT_COMBINATION_Card Street_mean,0.016392388445170478
client_cash_CNT_INSTALMENT_FUTURE_mean_mean,0.016268895678515055
NAME_EDUCATION_TYPE_Higher education,0.01618506562472392
client_cash_NAME_CONTRACT_STATUS_Completed_mean_max,0.015661133745025375
YEARS_BEGINEXPLUATATION_AVG,0.015525817725731474
previous_CODE_REJECT_REASON_HC_mean,0.015480818477353936
previous_NAME_GOODS_CATEGORY_Consumer Electronics_mean,0.015084333879835626
bureau_CREDIT_ACTIVE_Active_mean,0.015051369543182303
NAME_CONTRACT_TYPE_Cash loans,0.014888020133780024
previous_CNT_PAYMENT_mean,0.01461349557871584
OCCUPATION_TYPE_Core staff,0.01364911408980748
bureau_CREDIT_TYPE_Microloan_mean,0.01358314977411609
client_credit_AMT_DRAWINGS_POS_CURRENT_sum_mean,0.013308366601861023
client_credit_AMT_RECIVABLE_min_sum,0.013163007536689957
previous_WEEKDAY_APPR_PROCESS_START_SATURDAY_mean,0.013055503701977705
previous_NAME_YIELD_GROUP_low_normal_mean,0.01290141302300121
client_cash_MONTHS_BALANCE_sum_min,0.012812943038803318
client_cash_CNT_INSTALMENT_FUTURE_mean_min,0.012480818143997463
previous_NAME_GOODS_CATEGORY_Mobile_mean,0.012449716962990487
client_credit_AMT_DRAWINGS_ATM_CURRENT_sum_mean,0.012277321741817686
bureau_CREDIT_TYPE_Mortgage_mean,0.012042628954774754
client_cash_SK_DPD_mean_min,0.011729807680903006
previous_DAYS_FIRST_DRAWING_mean,0.011526571441196658
TOTALAREA_MODE,0.011502460660314951
client_cash_SK_DPD_DEF_mean_mean,0.010973183017660176
client_credit_CNT_DRAWINGS_ATM_CURRENT_max_sum,0.010609914885591645
client_credit_CNT_DRAWINGS_CURRENT_mean_min,0.01058461447551935
client_cash_NAME_CONTRACT_STATUS_Active_mean_mean,0.010497974354269116
client_installments_AMT_INSTALMENT_min_sum,0.010303136300672434
client_cash_NAME_CONTRACT_STATUS_Signed_mean_mean,0.01025939718271809
NAME_INCOME_TYPE_State servant,0.010157581845590699
client_installments_NUM_INSTALMENT_VERSION_sum_min,0.010102755911466369
LANDAREA_AVG,0.009932348910669363
previous_NAME_CLIENT_TYPE_Refreshed_mean,0.009885959990388122
NONLIVINGAPARTMENTS_AVG,0.00950926439729894
client_cash_MONTHS_BALANCE_min_max,0.009355494283802022
previous_NFLAG_INSURED_ON_APPROVAL_mean,0.009090786585212927
previous_RATE_DOWN_PAYMENT_sum,0.008847817064478165
previous_AMT_DOWN_PAYMENT_mean,0.008727799313476671
bureau_AMT_CREDIT_SUM_max,0.008546729112233187
client_installments_NUM_INSTALMENT_VERSION_sum_max,0.00843148335163836
BASEMENTAREA_AVG,0.008208313404883006
client_credit_AMT_DRAWINGS_CURRENT_max_sum,0.008015821072586034
previous_NAME_CLIENT_TYPE_Repeater_mean,0.007984817581977284
client_installments_NUM_INSTALMENT_VERSION_mean_mean,0.007868928329392613
previous_CHANNEL_TYPE_Contact center_mean,0.007575178710494883
previous_DAYS_LAST_DUE_mean,0.007419110057433217
